Question Name,Difficulty Level,Total Submissions,Accuracy,Company Tags
Subarray with given sum,Easy,1M,16.50%,AmazonFacebook+ 2 more
Missing number in array,Easy,887K,29.59%,FlipkartMorgan Stanley+ 11 more
Kadane's Algorithm,Medium,783K,36.28%,ZohoFlipkart+ 22 more
Minimum number of jumps,Medium,673K,11.91%,Moonfrog LabsFlipkart+ 6 more
"Sort an array of 0s, 1s and 2s",Easy,580K,50.58%,PaytmFlipkart+ 15 more
Leaders in an array,Easy,556K,29.94%,PayuAdobe
Majority Element,Medium,523K,27.82%,FlipkartAccolite+ 6 more
Kth smallest element,Medium,511K,35.17%,VMWareAccolite+ 8 more
Find duplicates in an array,Easy,509K,18.95%,PaytmZoho+ 4 more
Parenthesis Checker,Easy,489K,28.56%,FlipkartAmazon+ 8 more
Minimize the Heights II,Medium,478K,15.06%,MicrosoftAdobe
Equilibrium Point,Easy,463K,28.13%,AmazonAdobe
Check for BST,Easy,461K,25.37%,VMWareFlipkart+ 19 more
Count Inversions,Medium,442K,16.93%,FlipkartAmazon+ 5 more
Left View of Binary Tree,Easy,423K,33.74%,PaytmFlipkart+ 12 more
Binary Search,Basic,415K,44.32%,InfosysOracle+ 6 more
Remove loop in Linked List,Medium,399K,27.66%,VMWareMorgan Stanley+ 11 more
Second Largest,Easy,387K,26.72%,SAP LabsRockstand
Detect Loop in linked list,Easy,375K,43.49%,PaytmVMWare+ 16 more
Trapping Rain Water,Medium,371K,33.14%,FlipkartAmazon+ 2 more
Minimum Platforms,Medium,363K,26.84%,PaytmAmazon+ 9 more
0 - 1 Knapsack Problem,Medium,345K,31.76%,FlipkartMorgan Stanley+ 9 more
Count pairs with given sum,Easy,341K,31.49%,FlipkartAccolite+ 7 more
Find Missing And Repeating,Medium,338K,24.83%,AmazonSamsung+ 3 more
Nth node from end of linked li...,Easy,336K,41.18%,FlipkartMorgan Stanley+ 13 more
Next Greater Element,Medium,335K,32.95%,FlipkartAmazon+ 3 more
Peak element,Easy,335K,38.86%,AccoliteAmazon+ 3 more
Detect cycle in an undirected ...,Medium,327K,30.13%,FlipkartAmazon+ 5 more
Common elements,Easy,319K,22.16%,VMWareMicrosoft+ 1 more
Maximum Product Subarray,Medium,317K,18.09%,Morgan StanleyAmazon+ 4 more
Detect cycle in a directed gra...,Medium,315K,27.88%,FlipkartAmazon+ 8 more
Union of two arrays,Basic,305K,42.22%,ZohoRockstand
BFS of graph,Easy,305K,44.09%,FlipkartAmazon+ 5 more
Boundary Traversal of binary t...,Medium,300K,23.33%,FlipkartMorgan Stanley+ 10 more
Reverse array in groups,Basic,292K,37.48%,Adobe
Reverse a String,Basic,288K,69.49%,
Smallest Positive missing numb...,Medium,287K,25.13%,AccoliteAmazon+ 2 more
Check if two arrays are equal ...,Basic,286K,42.18%,Goldman Sachs
Find triplets with zero sum,Medium,284K,25.81%,AmazonGoogle+ 1 more
Palindrome String,Easy,282K,51.21%,PaytmZoho+ 6 more
nCr,Medium,278K,14.82%,
Finding middle element in a li...,Easy,278K,57.93%,VMWareZoho+ 17 more
Check if Linked List is Palind...,Medium,278K,41.48%,AccoliteAmazon+ 7 more
Power of 2,Basic,273K,32.58%,Adobe
Longest Palindrome in a String,Medium,272K,23.20%,ZohoAccolite+ 9 more
Maximum of all subarrays of si...,Medium,271K,26.04%,FlipkartAmazon+ 3 more
Reverse words in a given strin...,Easy,268K,56.08%,PaytmAccolite+ 8 more
Longest consecutive subsequenc...,Medium,263K,33.00%,AmazonMicrosoft+ 1 more
Reverse a linked list,Easy,262K,73.11%,PaytmVMWare+ 20 more
Anagram,Easy,262K,44.93%,FlipkartDirecti+ 4 more
Search an Element in an array,Basic,261K,40.95%,
Longest Increasing Subsequence,Medium,258K,32.80%,PaytmAmazon+ 4 more
Rotate Array,Easy,255K,37.06%,AmazonMicrosoft+ 1 more
Nth Fibonacci Number,Easy,254K,22.30%,AmazonMicrosoft+ 6 more
Remove duplicate element from ...,Easy,252K,49.37%,MicrosoftOYO Rooms+ 4 more
Stock buy and sell,Medium,251K,29.18%,PaytmFlipkart+ 18 more
Longest Common Subsequence,Medium,248K,41.68%,PaytmVMWare+ 4 more
Triplet Sum in Array,Medium,243K,35.00%,AccoliteAmazon+ 4 more
Check for Balanced Tree,Easy,241K,43.15%,AmazonMicrosoft+ 1 more
